Title,Artist_name,Time_duration
"Kesariya (From ""Brahmastra"")"," Pritam, Arijit Singh, Amitabh Bhattacharya,",4:28
Baarish Aayi Hai," Javed-Mohsin, Stebin Ben, Shreya Ghoshal,",3:32
Iss Baarish Mein," Yasser Desai, Neeti Mohan,",4:00
Ijazzat Hai," Raj Barman,",3:15
Dhoke Pyaar Ke," Rochak Kohli, B Praak,",4:19
Halki Si Barsaat," Saaj Bhatt,",3:32
Tauba (feat. Badshah)," Badshah, Payal Dev,",3:19
"Galliyan Returns (From ""Ek Villain Returns"")"," Ankit Tiwari, Manoj Muntashir,",5:50
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")"," Pritam, Tanishk Bagchi, Neeraj Shridhar, Mellow D,",3:31
Fitoor," Mithoon, Arijit Singh, Neeti Mohan, Karan Malhotra,",5:08
"Phir Na Aisi Raat Aayegi (From ""Laal Singh Chaddha"")"," Pritam, Arijit Singh, Amitabh Bhattacharya,",4:43
"Kitni Haseen Hogi (From ""Hit - The First Case"")"," Mithoon, Arijit Singh, Sayeed Quadri,",5:30
"Rangisari (From ""Jugjugg Jeeyo"")"," Kanishk Seth, Kavita Seth,",3:43
Mehabooba," Ananya Bhat,",3:33
"Dil (From ""Ek Villain Returns"")"," Kaushik-Guddu, Raghav Chaitanya, Kunaal Vermaa,",5:09
Baarishon Mein," Darshan Raval,",3:45
Kachiyaan Kachiyaan," Jubin Nautiyal, Meet Bros,",5:29
"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")"," Pritam, Arijit Singh, Tulsi Kumar,",3:58
"Nikamma (From ""Nikamma"")"," Javed-Mohsin, Himesh Reshammiya, Dev Negi, Payal Dev, Deane Sequeira,",2:48
Jaa Rahe Ho," Kunaal Vermaa, Yasser Desai,",4:07
Meri Jaan," Neeti Mohan,",3:58
Toofan," Sandesh Datta Naik,",3:33
Dhokha," Arijit Singh, Manan Bhardwaj,",4:05
Ik Tu Hai ❤️," Jubin Nautiyal, Shashwat Sachdev,",4:10
Firecracker," Vishal & Shekhar, Vishal Dadlani, Shekhar Ravjiani, Kumaar, Vayu,",2:46
Dhaagon Se Baandhaa," Meet Bros, Stebin Ben, Danish Sabri,",4:45
"Kesariya (From ""Brahmastra"")"," Salman Ali, Himesh Reshammiya,",4:28
Baarish Aayi Hai," Akull,",3:32
Mehabooba," Sachet Tandon,",3:33
Meri Jaan," Badshah,",3:58
Dhokha," Himesh Reshammiya, Arijit Singh, Shreya Ghoshal,",4:05
Fitoor," Pritam, Arijit Singh, Amitabh Bhattacharya,",5:08
Dhoke Pyaar Ke," Javed-Mohsin, Stebin Ben, Shreya Ghoshal,",4:19
